"Story","Title","Result","Date","Stability","Duration (s)"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por CEDULA","SUCCESS","2023-03-03T13:28:58.2024379-05:00[America/Bogota]","0.0","236.4"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios NOMBRE","SUCCESS","2023-03-03T13:32:54.7652957-05:00[America/Bogota]","0.0","248.08"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por CEDULA Inexistente","SUCCESS","2023-03-03T13:37:03.0543481-05:00[America/Bogota]","0.0","238.63"
"Consultar detalle de Beneficios por colaboradores","Consultar  por TIPO DE BENEFICIO","SUCCESS","2023-03-03T13:41:01.8461634-05:00[America/Bogota]","0.0","244.67"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por COMPAÑÍA","SUCCESS","2023-03-03T13:45:06.6813413-05:00[America/Bogota]","0.0","237.75"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por Filtro Auxilios","FAILURE","2023-03-03T13:49:04.5949484-05:00[America/Bogota]","0.0","275.56"
"Consultar detalle de Beneficios por colaboradores","Consultar Beneficios por Filtro Pólizas","FAILURE","2023-03-03T13:53:40.3629739-05:00[America/Bogota]","0.0","271.15"
