"Story","Title","Result","Date","Stability","Duration (s)"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Admin","SUCCESS","2023-03-03T12:23:16.3059569-05:00[America/Bogota]","0.0","233.82"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Gestor","SUCCESS","2023-03-03T12:27:10.3859059-05:00[America/Bogota]","0.0","227.24"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Auxiliar","SUCCESS","2023-03-03T12:30:57.7672972-05:00[America/Bogota]","0.0","229.08"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil Multi Rol (Admin/Gestor/Auxiliar/Basic)","SUCCESS","2023-03-03T12:34:47.0685307-05:00[America/Bogota]","0.0","230.23"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil rol Admin con correo Failed","SUCCESS","2023-03-03T12:38:37.4822853-05:00[America/Bogota]","0.0","230.31"
"Gestionar perfiles de los colaboradores","Crear usuario con perfil sin Rol","SUCCESS","2023-03-03T12:42:27.9706141-05:00[America/Bogota]","0.0","237.2"
